[7/24/2024 2:08:19 AM] [INFO] received Windows console close event; shutting log-core down
[7/24/2024 2:08:44 AM] [INFO] received Windows console close event; shutting log-core down
[7/24/2024 2:10:37 AM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 6:32:03 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 7:18:33 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 7:58:01 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 7:58:17 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 7:58:23 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 8:32:09 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 8:41:25 PM] [INFO] received Windows console close event; shutting log-core down
[7/27/2024 9:16:48 PM] [INFO] received Windows console close event; shutting log-core down
[7/28/2024 10:23:03 AM] [INFO] received Windows console close event; shutting log-core down
[7/28/2024 10:23:32 AM] [INFO] received Windows console close event; shutting log-core down
[11/10/2024 9:08:53 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/10/2024 9:10:05 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/10/2024 9:12:27 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11/10/2024 9:18:21 PM] [INFO] received Windows console close event; shutting log-core down
[11/11/2024 8:11:51 PM] [INFO] received Windows console close event; shutting log-core down
[11/11/2024 9:58:26 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:20:46 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:29:21 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:30:07 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:35:31 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:35:51 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:44:44 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 9:46:10 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 10:00:17 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 10:15:23 PM] [INFO] received Windows console close event; shutting log-core down
[11/13/2024 10:18:54 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 2:58:51 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:24:11 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:24:11 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:24:21 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:27:49 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:28:27 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:29:22 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:31:51 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:33:07 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:58:59 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 3:59:21 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 4:37:20 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 4:37:47 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 4:50:14 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 4:50:22 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 5:00:17 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 5:00:29 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 5:49:38 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 5:57:08 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:18:05 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:18:06 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:23:40 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:29:39 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:34:55 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:42:10 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:42:20 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:47:12 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:47:24 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:50:29 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:52:55 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:54:42 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:54:56 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:55:47 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 8:59:27 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 9:02:37 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 9:07:15 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 9:07:21 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 9:08:34 PM] [INFO] received Windows console close event; shutting log-core down
[11/14/2024 9:30:28 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 10:04:04 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 10:08:32 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 10:15:50 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 10:16:13 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 10:19:17 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 10:28:28 PM] [INFO] received Windows console close event; shutting log-core down
[11/15/2024 11:02:39 PM] [INFO] received Windows console close event; shutting log-core down
[11/16/2024 5:53:08 PM] [INFO] received Windows console close event; shutting log-core down
[11/19/2024 10:09:53 PM] [INFO] received Windows console close event; shutting log-core down
